Record Type 1,Customer Number,Delivery Address Number,Invoice Number,Grand Total Value,,,Nett Value,,Currency Code,,Sub Total2,Total VAT Value,VAT Number,Sub Total3,,,,,,,,
Record Type 2,Customer Number,Delivery Address Number,Invoice Number,Customer Order Number,Supplied Part Number,Pick Quantity,Nett Value,User Text,Currency Code,Order Type,Exchange Value,Programming Charge,Tarrif Code,Country of Origin,HU,ECCN US,ECCN UK,Customer Part Number,Part Description,UOI(Unit of Issue),Net Weight,CPC Code
Record Type 3,Customer Number,,Invoice Number,OTHERS or CAR CHG,,,Nett Value,,,,,,,,,,,,,,,
"2","57420","57420001","90222105","4500127789TVH","2652A023","3.000","444.24","0","EUR","Standard Order","0","0","8421398590","DE","00000000004401753355/00000000004401753862","EAR99","Not on Control List","0","BREATHER","1.000","3.390 KG","3171000"
"2","57420","57420001","90222105","4500127789TVH","2654403","250.000","1235.00","0","EUR","Standard Order","0","0","8421230090","DE","00000000004401752997/00000000004401755339","EAR99","Not on Control List","0","OIL FILTER","1.000","137.500 KG","3171000"
"2","57420","57420001","90222105","4500127789TVH","26560145","40.000","325.60","0","EUR","Standard Order","0","0","8421230090","US","00000000004401752999","EAR99","Not on Control List","0","FUEL FILTER","1.000","8.560 KG","3171000"
"2","57420","57420001","90222105","4500127789TVH","26560906","40.000","102.00","0","EUR","Standard Order","0","0","3923509000","US","00000000004401753262","EAR99","Not on Control List","0","CAP","1.000","0.600 KG","3171000"
"2","57420","57420001","90222105","4500127789TVH","2666409","40.000","548.40","0","EUR","Standard Order","0","0","8511800090","SI","00000000004401753939","EAR99","Not on Control List","0","GLOW PLUG","1.000","2.800 KG","3171000"
"2","57420","57420001","90222105","4500127789TVH","2861061","5.000","176.05","0","EUR","Standard Order","0","0","8511900090","GB","00000000004401753355","EAR99","0","0","RESISTOR","1.000","0.510 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","29990001","14.000","26.46","0","EUR","Standard Order","0","0","7318290090","GB","00000000004401753862","EAR99","Not on Control List","0","DOWEL","1.000","0.056 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","3115H003","40.000","1306.80","0","EUR","Standard Order","0","0","8483502090","GB","00000000004401753262/00000000004401753355","EAR99","Not on Control List","0","PULLEY,ALTERNATR","1.000","18.200 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","3115M051","1.000","124.52","0","EUR","Standard Order","0","0","8483508090","GB","00000000004401753862","EAR99","Not on Control List","0","PULLEY","1.000","3.805 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","31431315","10.000","41.40","0","EUR","Standard Order","0","0","8409990090","TH","00000000004401753355","EAR99","Not on Control List","0","VALVE INLET","1.000","1.310 KG","3171000"
"2","57420","57420001","90222105","4500127789TVH","3161C096","3.000","353.43","0","EUR","Standard Order","0","0","8544429090","PT","00000000004401753262","EAR99","Not on Control List","0","WIRING HARNESS","1.000","2.520 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","3218J025","45.000","201.60","0","EUR","Standard Order","0","0","7318158880","IT","00000000004401753355","EAR99","Not on Control List","0","SCREW","5.000","2.655 KG","1040000"
