Record Type 1,Customer Number,Delivery Address Number,Invoice Number,Grand Total Value,,,Nett Value,,Currency Code,,Sub Total2,Total VAT Value,VAT Number,Sub Total3,,,,,,,,
Record Type 2,Customer Number,Delivery Address Number,Invoice Number,Customer Order Number,Supplied Part Number,Pick Quantity,Nett Value,User Text,Currency Code,Order Type,Exchange Value,Programming Charge,Tarrif Code,Country of Origin,HU,ECCN US,ECCN UK,Customer Part Number,Part Description,UOI(Unit of Issue),Net Weight,CPC Code
Record Type 3,Customer Number,,Invoice Number,OTHERS or CAR CHG,,,Nett Value,,,,,,,,,,,,,,,
"2","57420","57420001","90222105","4500127819","140517050","105.000","257.25","0","EUR","Standard Order","0","0","8421230090","FR","00000000004401752998","EAR99","Not on Control List","0","OIL FILTER","1.000","31.080 KG","3171000"
"2","57420","57420001","90222105","4500127819","1817677C91","3.000","116.79","0","EUR","Standard Order","0","0","8421230090","US","00000000004401753862","EAR99","Not on Control List","0","STRAINER","1.000","0.114 KG","3171000"
"2","57420","57420001","90222105","4500127819","21826363","1.000","9.45","0","EUR","Standard Order","0","0","8487909090","GB","00000000004401753262","EAR99","Not on Control List","0","JOINT","1.000","0.055 KG","1040000"
"2","57420","57420001","90222105","4500127819","2483A032","1.000","59.96","0","EUR","Standard Order","0","0","4009320090","GB","00000000004401753862","EAR99","Not on Control List","0","PIPE,OIL","1.000","0.576 KG","1040000"
"2","57420","57420001","90222105","4500127819","2483A033","1.000","53.05","0","EUR","Standard Order","0","0","4009320090","GB","00000000004401753862","EAR99","Not on Control List","0","PIPE,OIL","1.000","0.655 KG","1040000"
"2","57420","57420001","90222105","4500127819","2486A993","1.000","54.84","0","EUR","Standard Order","0","0","8419508090","CN","00000000004401753861","EAR99","Not on Control List","0","OIL COOLER","1.000","3.424 KG","3171000"
"2","57420","57420001","90222105","4500127819","2614B166","3.000","33.00","0","EUR","Standard Order","0","0","4010320000","IN","00000000004401753861","EAR99","Not on Control List","0","BELT,FAN","1.000","1.134 KG","1040000"
"2","57420","57420001","90222105","4500127819","2614B655","4.000","58.12","0","EUR","Standard Order","0","0","4010320000","IN","00000000004401752981","EAR99","Not on Control List","0","BELT,FAN","1.000","1.128 KG","1040000"
"2","57420","57420001","90222105","4500127819","2635A052","1.000","15.67","0","EUR","Standard Order","0","0","4016999190","IT","00000000004401753862","EAR99","Not on Control List","0","MOUNTING","1.000","0.110 KG","1040000"
"2","57420","57420001","90222105","4500127819","26420469","1.000","43.77","0","EUR","Standard Order","0","0","8505902999","IN","00000000004401753862","EAR99","Not on Control List","0","SOLENOID","1.000","0.100 KG","1040000"
"2","57420","57420001","90222105","4500127819","2646E501","2.000","5.04","0","EUR","Standard Order","0","0","3923509000","GB","00000000004401753862","EAR99","Not on Control List","0","END CAP","1.000","0.004 KG","1040000"
"2","57420","57420001","90222105","4500127819","2646F501","5.000","16.65","0","EUR","Standard Order","0","0","4009310090","GB","00000000004401753861","EAR99","Not on Control List","0","HOSE","1.000","0.050 KG","1040000"
"2","57420","57420001","90222105","4500127819","26510343","1.000","8.24","0","EUR","Standard Order","0","0","8421310090","CZ","00000000004401752996","EAR99","Not on Control List","0","AIR FITR.ELEMENT","1.000","0.271 KG","1040000"
"2","57420","57420001","90222105","4500127819","26510380","2.000","33.94","0","EUR","Standard Order","0","0","8421310090","GB","00000000004401752996","EAR99","Not on Control List","0","AIR FILTER","1.000","2.400 KG","1040000"
"2","57420","57420001","90222105","4500127819","2652C845","1.000","16.52","0","EUR","Standard Order","0","0","8421310090","CZ","00000000004401752997","EAR99","Not on Control List","0","AIR FILTER","1.000","1.458 KG","1040000"
"2","57420","57420001","90222105","4500127819","26540244","1.000","20.81","0","EUR","Standard Order","0","0","8421230090","MX","00000000004401753861","EAR99","Not on Control List","0","OIL FILTER","1.000","2.025 KG","1040000"
"2","57420","57420001","90222105","4500127819","2654403","1.000","4.94","0","EUR","Standard Order","0","0","8421230090","DE","00000000004401752996","EAR99","Not on Control List","0","OIL FILTER","1.000","0.550 KG","3171000"
"2","57420","57420001","90222105","4500127819","2654407","39.000","235.56","0","EUR","Standard Order","0","0","8421230090","DE","00000000004401754344","EAR99","Not on Control List","0","OIL FILTER","1.000","26.208 KG","3171000"
"2","57420","57420001","90222105","4500127819","2654412","2.000","12.70","0","EUR","Standard Order","0","0","8421230090","IT","00000000004401753861","EAR99","0","0","OIL FILTER","1.000","1.106 KG","3171000"
"2","57420","57420001","90222105","4500127819","26550001","5.000","91.75","0","EUR","Standard Order","0","0","8421230090","MX","00000000004401754838","EAR99","Not on Control List","0","WATER FILTER","1.000","3.450 KG","1040000"
"2","57420","57420001","90222105","4500127819","26560137","6.000","68.76","0","EUR","Standard Order","0","0","8421230090","MX","00000000004401753861","EAR99","Not on Control List","0","FUEL FILTER","1.000","5.760 KG","1040000"
"2","57420","57420001","90222105","4500127819","26560143","4.000","38.36","0","EUR","Standard Order","0","0","8421230090","US","00000000004401752996","EAR99","Not on Control List","0","FUEL FILTER","1.000","1.120 KG","3171000"
"2","57420","57420001","90222105","4500127819","2656F843","1.000","11.84","0","EUR","Standard Order","0","0","8421230090","US","00000000004401752996","EAR99","Not on Control List","0","FUEL FILTER","1.000","0.529 KG","3171000"
"2","57420","57420001","90222105","4500127819","2656F853","2.000","27.14","0","EUR","Standard Order","0","0","8421230090","US","00000000004401755548","EAR99","Not on Control List","0","FUEL FILTER","1.000","1.340 KG","3171000"
"2","57420","57420001","90222105","4500127819","3115H003","1.000","32.67","0","EUR","Standard Order","0","0","8483502090","GB","00000000004401753262","EAR99","Not on Control List","0","PULLEY,ALTERNATR","1.000","0.455 KG","1040000"
"2","57420","57420001","90222105","4500127819","33811114","10.000","3.44","0","EUR","Standard Order","0","0","4016930090","IT","00000000004401753862","EAR99","Not on Control List","0","OLIVE","10.000","0.010 KG","1040000"
"2","57420","57420001","90222105","4500127819","3525A202","1.000","18.38","0","EUR","Standard Order","0","0","8409990090","SE","00000000004401753862","EAR99","Not on Control List","0","INJECTION PIPE","1.000","0.152 KG","3171000"
"2","57420","57420001","90222105","4500127819","3525A203","1.000","23.98","0","EUR","Standard Order","0","0","8409990090","SE","00000000004401753862","EAR99","Not on Control List","0","INJECTION PIPE","1.000","0.154 KG","3171000"
"2","57420","57420001","90222105","4500127819","3525A204","1.000","23.98","0","EUR","Standard Order","0","0","8409990090","SE","00000000004401753862","EAR99","Not on Control List","0","INJECTION PIPE","1.000","0.152 KG","3171000"
"2","57420","57420001","90222105","4500127819","3525A205","1.000","23.98","0","EUR","Standard Order","0","0","8409990090","SE","00000000004401753862","EAR99","Not on Control List","0","INJECTION PIPE","1.000","0.150 KG","3171000"
"2","57420","57420001","90222105","4500127819","3611272","2.000","63.10","0","EUR","Standard Order","0","0","8421230090","CZ","00000000004401752996","EAR99","Not on Control List","0","FUEL FILTER ASSY","1.000","1.030 KG","3171000"
"2","57420","57420001","90222105","4500127819","3684N026","1.000","4.36","0","EUR","Standard Order","0","0","8484100090","GB","00000000004401753862","EAR99","Not on Control List","0","JOINT","1.000","0.058 KG","1040000"
"2","57420","57420001","90222105","4500127819","385620320","2.000","3.94","0","EUR","Standard Order","0","0","8511900090","JP","00000000004401753262","EAR99","Not on Control List","0","TERMINAL","1.000","0.020 KG","3171000"
"2","57420","57420001","90222105","4500127819","4133L508","5.000","110.30","0","EUR","Standard Order","0","0","8481805100","TR","00000000004401753861","EAR99","Not on Control List","0","THERMOSTAT CONN","1.000","2.600 KG","3171000"
"2","57420","57420001","90222105","4500127819","4326658","20.000","42.40","0","EUR","Standard Order","0","0","8421230090","BA","00000000004401752997/00000000004401755548","EAR99","Not on Control List","0","FUEL FILTER","1.000","4.100 KG","1040000"
"2","57420","57420001","90222105","4500127819","4627133","33.000","236.94","0","EUR","Standard Order","0","0","8421230090","MX","00000000004401754838","EAR99","0","0","OIL FILTER","1.000","20.889 KG","1040000"
"2","57420","57420001","90222105","4500127819","4794134","16.000","358.72","0","EUR","Standard Order","0","0","8421230090","CZ","00000000004401754344","EAR99","Not on Control List","0","FUEL FILTER","1.000","4.224 KG","3171000"
"2","57420","57420001","90222105","4500127819","4816636","41.000","268.96","0","EUR","Standard Order","0","0","8421230090","CZ","00000000004401752997","EAR99","Not on Control List","0","FUEL FILTER","1.000","9.635 KG","3171000"
"2","57420","57420001","90222105","4500127819","4906245","12.000","241.68","0","EUR","Standard Order","0","0","8421230090","US","00000000004401752981","EAR99","Not on Control List","0","ELEMENT ASSY","1.000","2.016 KG","1040000"
"2","57420","57420001","90222105","4500127819","4981344","3.000","56.31","0","EUR","Standard Order","0","0","8421230090","CZ","00000000004401752996","EAR99","Not on Control List","0","FUEL ELEMENT","1.000","0.780 KG","3171000"
"2","57420","57420001","90222105","4500127819","5152094","1.000","13.75","0","EUR","Standard Order","0","0","4010310090","IT","00000000004401753355","EAR99","Not on Control List","0","BELT","1.000","0.160 KG","3171000"
"2","57420","57420001","90222105","4500127819","5256207","19.000","172.33","0","EUR","Standard Order","0","0","8421230090","CN","00000000004401752981","EAR99","Not on Control List","0","FUEL FILTER","1.000","3.610 KG","1040000"
"2","57420","57420001","90222105","4500127819","5516185","1.000","32.25","0","EUR","Standard Order","0","0","8421310090","GB","00000000004401752996","EAR99","Not on Control List","0","AIR FILTER ASSY","1.000","2.500 KG","1040000"
"2","57420","57420001","90222105","4500127819","554/129","1.000","231.46","0","EUR","Standard Order","0","0","8487909090","GB","00000000004401753862","EAR99","Not on Control List","0","OIL SEAL","1.000","0.320 KG","1040000"
"2","57420","57420001","90222105","4500127819","5643013","1.000","27.13","0","EUR","Standard Order","0","0","4010390090","IT","00000000004401753355","EAR99","0","0","BELT","1.000","0.091 KG","3171000"
"2","57420","57420001","90222105","4500127819","5698037","10.000","174.10","0","EUR","Standard Order","0","0","8421230090","US","00000000004401754344","EAR99","Not on Control List","0","KIT, OIL FILTER","1.000","2.000 KG","3171000"
"2","57420","57420001","90222105","4500127819","6534576","3.000","26.55","0","EUR","Standard Order","0","0","8421230090","DE","00000000004401753262","EAR99","0","0","OIL FILTER","1.000","3.555 KG","3171000"
"2","57420","57420001","90222105","4500127819","CH10046","4.000","0.56","0","EUR","Standard Order","0","0","4016930090","US","00000000004401753862","EAR99","Not on Control List","0","SEAL","1.000","0.008 KG","1040000"
"2","57420","57420001","90222105","4500127819","CH10284","4.000","6.00","0","EUR","Standard Order","0","0","8511900090","US","00000000004401753262","EAR99","Not on Control List","0","PLUG","1.000","0.080 KG","1040000"
"2","57420","57420001","90222105","4500127819","CH10929","2.000","25.60","0","EUR","Standard Order","0","0","8421230090","CZ","00000000004401752996","EAR99","Not on Control List","0","OIL FILTER","1.000","1.370 KG","3171000"
"2","57420","57420001","90222105","4500127819","CH10930","2.000","22.22","0","EUR","Standard Order","0","0","8421230090","CZ","00000000004401752996","EAR99","Not on Control List","0","FUEL FILTER","1.000","1.024 KG","3171000"
"2","57420","57420001","90222105","4500127819","CH10931","2.000","29.68","0","EUR","Standard Order","0","0","8421230090","CZ","00000000004401752996","EAR99","Not on Control List","0","FUEL FILTER","1.000","1.370 KG","3171000"
"2","57420","57420001","90222105","4500127819","CH11037","1.000","4.51","0","EUR","Standard Order","0","0","4010320000","IN","00000000004401753262","EAR99","Not on Control List","0","BELT","1.000","0.090 KG","1040000"
"2","57420","57420001","90222105","4500127819","CV20948","2.000","64.20","0","EUR","Standard Order","0","0","8421310090","PL","00000000004401753862","EAR99","Not on Control List","0","AIR FILTER","1.000","6.810 KG","3171000"
"2","57420","57420001","90222105","4500127819","CV2473","8.000","112.00","0","EUR","Standard Order","0","0","8421230090","IT","00000000004401753861","EAR99","Not on Control List","0","OIL FILTER","1.000","8.016 KG","3171000"
"2","57420","57420001","90222105","4500127819","K614CF03","1.000","92.92","0","EUR","Standard Order","0","0","4010120000","IT","00000000004401753262","EAR99","Not on Control List","0","BELT,TIMING","1.000","0.210 KG","1040000"
"2","57420","57420001","90222105","4500127819","L681EF06","1.000","26.74","0","EUR","Standard Order","0","0","8484100090","IN","00000000004401753262","EAR99","Not on Control List","0","HEAD GASKET","1.000","0.190 KG","1040000"
"2","57420","57420001","90222105","4500127819","OD19596","4.000","49.48","0","EUR","Standard Order","0","0","8421230090","IT","00000000004401755548","EAR99","Not on Control List","0","FUEL FILTER","1.000","3.148 KG","3171000"
"2","57420","57420001","90222105","4500127819","T400268","1.000","174.89","0","EUR","Standard Order","0","0","8511400090","BA","00000000004401755548","EAR99","Not on Control List","0","STARTER MOTOR","1.000","7.180 KG","3171000"
"2","57420","57420001","90222105","4500127819","T405750","5.000","13.00","0","EUR","Standard Order","0","0","7415210000","HU","00000000004401753862","EAR99","Not on Control List","0","WASHER","1.000","0.015 KG","3171000"
"2","57420","57420001","90222105","4500127819","T406716","1.000","192.97","0","EUR","Standard Order","0","0","8511400090","BA","00000000004401753861","EAR99","Not on Control List","0","STARTERMOTOR","1.000","11.530 KG","3171000"
"2","57420","57420001","90222105","4500127819","T412776","1.000","175.95","0","EUR","Standard Order","0","0","8511500090","SI","00000000004401753861","0","0","0","ALTERNATOR","1.000","6.100 KG","3171000"
"2","57420","57420001","90222105","4500127819","T413847","1.000","36.30","0","EUR","Standard Order","0","0","8481805100","TR","00000000004401753355","EAR99","Not on Control List","0","THERMOSTAT ASSY","1.000","0.390 KG","3171000"
"2","57420","57420001","90222105","4500127819","T415245","3.000","58.68","0","EUR","Standard Order","0","0","3917390099","CN","00000000004401753355","EAR99","Not on Control List","0","PIPE,FUEL","1.000","0.090 KG","3171000"
"2","57420","57420001","90222105","4500127819","T419166","4.000","45.36","0","EUR","Standard Order","0","0","8511800090","SL","00000000004401753262","EAR99","Not on Control List","0","GLOW PLUG","1.000","0.216 KG","3171000"
"2","57420","57420001","90222105","4500127819","T421630","27.000","724.95","0","EUR","Standard Order","0","0","8536501900","CN","00000000004401753355","EAR99","Not on Control List","0","PRESSURE SWITCH","1.000","4.050 KG","1040000"
"2","57420","57420001","90222105","4500127819","T421762","1.000","10.35","0","EUR","Standard Order","0","0","8536501900","PL","00000000004401753862","EAR99","Not on Control List","0","OIL PRESS SWITC","1.000","0.060 KG","1040000"
"2","57420","57420001","90222105","4500127819","T423548","3.000","210.03","0","EUR","Standard Order","0","0","8413308090","IN","00000000004401754344","EAR99","Not on Control List","0","KIT,WATER PUMP","1.000","16.695 KG","1040000"
"2","57420","57420001","90222105","4500127819","T431142","12.000","11.28","0","EUR","Standard Order","0","0","3926909790","HU","00000000004401753862","EAR99","Not on Control List","0","SEAL","1.000","0.600 KG","3171000"
"2","57420","57420001","90222105","4500127819","T431411","2.000","25.54","0","EUR","Standard Order","0","0","8487909090","CZ","00000000004401753862","EAR99","Not on Control List","0","SEAL","1.000","0.060 KG","1040000"
"2","57420","57420001","90222105","4500127819","T432009","1.000","49.22","0","EUR","Standard Order","0","0","8413308090","CN","00000000004401753939","EAR99","Not on Control List","0","WATER PUMP ASSY","1.000","1.580 KG","1040000"
"2","57420","57420001","90222105","4500127819","T434845","1.000","430.90","0","EUR","Standard Order","0","0","9027899000","US","00000000004401752981","EAR99","Not on Control List","0","SENSOR KIT","1.000","0.547 KG","1040000"
"2","57420","57420001","90222105","4500127819","T436133","1.000","14.74","0","EUR","Standard Order","0","0","6815990000","GB","00000000004401753355","EAR99","Not on Control List","0","GASKET","1.000","0.007 KG","1040000"
"2","57420","57420001","90222105","4500127819","U31426200","1.000","0.44","0","EUR","Standard Order","0","0","7415210000","GB","00000000004401753862","EAR99","Not on Control List","0","GASKET","1.000","0.003 KG","1040000"
"2","57420","57420001","90222105","4500127819","U45011020","2.000","63.98","0","EUR","Standard Order","0","0","8413308090","CN","00000000004401753939","EAR99","Not on Control List","0","WATER PUMP","1.000","2.460 KG","3171000"
"2","57420","57420001","90222105","4500127819","U45996051","2.000","0.98","0","EUR","Standard Order","0","0","4016930090","GB","00000000004401753862","EAR99","Not on Control List","0","GASKET","1.000","0.002 KG","1040000"
"2","57420","57420001","90222105","4500127819","U45996831","2.000","8.76","0","EUR","Standard Order","0","0","6815190000","CN","00000000004401753862","EAR99","Not on Control List","0","GASKET","1.000","0.020 KG","1040000"
"2","57420","57420001","90222105","4500127819","U45996930","1.000","0.52","0","EUR","Standard Order","0","0","6815990000","GB","00000000004401753862","EAR99","Not on Control List","0","GASKET","1.000","0.002 KG","1040000"
"2","57420","57420001","90222105","4500127819","U45996990","2.000","1.78","0","EUR","Standard Order","0","0","6815190000","GB","00000000004401753862","EAR99","Not on Control List","0","GASKET","1.000","0.016 KG","1040000"
"2","57420","57420001","90222105","4500127819","U5MW0085","2.000","113.16","0","EUR","Standard Order","0","0","8413308090","IN","00000000004401753939","EAR99","Not on Control List","0","WATER PUMP","1.000","3.852 KG","1040000"
"2","57420","57420001","90222105","4500127819","U5MW0160","1.000","79.41","0","EUR","Standard Order","0","0","8413308090","IN","00000000004401753262","EAR99","Not on Control List","0","WATER PUMP","1.000","8.200 KG","1040000"
"2","57420","57420001","90222105","4500127819","U85246210","1.000","6.30","0","EUR","Standard Order","0","0","8536501900","PL","00000000004401753862","EAR99","Not on Control List","0","SWITCH","1.000","0.052 KG","3171000"
"2","57420","57420001","90222105","4500127819","ULPK0002","1.000","17.99","0","EUR","Standard Order","0","0","8413308090","TR","00000000004401753939","EAR99","Not on Control List","0","LIFT PUMP","1.000","0.637 KG","1040000"
"2","57420","57420001","90222105","4500127819","ULPK0004","1.000","14.49","0","EUR","Standard Order","0","0","8413308090","TR","00000000004401753355","EAR99","Not on Control List","0","LIFT PUMP","1.000","0.305 KG","1040000"
"2","57420","57420001","90222105","4500127325","T435902","1.000","39.31","0","EUR","Standard Order","0","0","8421298090","ES","00000000004401762584","EAR99","Not on Control List","0","DEF FILTER","1.000","0.105 KG","3171000"
"2","57420","57420001","90222105","4500127789TVH","5589401","305.000","2754.15","0","EUR","Standard Order","0","0","8421230090","TN","00000000004401762522/00000000004401762584","EAR99","Not on Control List","0","OIL FILTER","1.000","198.250 KG","3171000"
"2","57420","57420001","90222105","4500127819","5589401","1.000","9.03","0","EUR","Standard Order","0","0","8421230090","TN","00000000004401762522","EAR99","Not on Control List","0","OIL FILTER","1.000","0.650 KG","3171000"
"2","57420","57420001","90222105","4500120708","CH11620","1.000","31.53","0","EUR","Standard Order","0","0","8481805100","US","00000000004401761096","EAR99","Not on Control List","0","THERMOSTAT","1.000","0.250 KG","1040000"
"2","57420","57420001","90222105","4500120936","T436384","1.000","26.58","0","EUR","Standard Order","0","0","8409990090","JP","00000000004401761096","EAR99","Not on Control List","0","PISTON RING KIT","1.000","0.035 KG","1040000"
"2","57420","57420001","90222105","4500127152","137456021","1.000","389.87","0","EUR","Standard Order","0","0","8413302090","JP","00000000004401761096","EAR99","Not on Control List","0","SERVICE KIT","1.000","0.580 KG","1040000"
"2","57420","57420001","90222105","4500125670","4759205","6.000","107.04","0","EUR","Standard Order","0","0","8421230090","CN","00000000004401762664","EAR99","0","0","FUEL FILTER","1.000","7.956 KG","1040000"
"2","57420","57420001","90222105","4500125836TVH","S551/4","3.000","198.48","0","EUR","Standard Order","0","0","8421310090","GB","00000000004401762526","EAR99","Not on Control List","0","ELEMENT,AIR FITR","1.000","12.300 KG","1040000"
"2","57420","57420001","90222105","4500126323TVH","6173659","5.000","696.30","0","EUR","Standard Order","0","0","8413308090","US","00000000004401762664","EAR99","Not on Control List","0","LIFT PUMP","1.000","3.350 KG","3171000"
"2","57420","57420001","90222105","4500126327","6173659","8.000","1114.08","0","EUR","Standard Order","0","0","8413308090","US","00000000004401762664","EAR99","Not on Control List","0","LIFT PUMP","1.000","5.360 KG","3171000"
"2","57420","57420001","90222105","4500127321TVH","U5LL0047","20.000","643.20","0","EUR","Standard Order","0","0","8409990090","IN","00000000004401762664","EAR99","Not on Control List","0","PISTON KIT","1.000","38.780 KG","1040000"
"2","57420","57420001","90222105","4500125670","T430988","1.000","204.53","0","EUR","Standard Order","0","0","8536419089","US","00000000004401762075","EAR99","Not on Control List","0","SWITCH","1.000","0.690 KG","3171000"
"2","57420","57420001","90222105","4500125858","T430988","2.000","409.06","0","EUR","Standard Order","0","0","8536419089","US","00000000004401762075","EAR99","Not on Control List","0","SWITCH","1.000","1.380 KG","3171000"
"2","57420","57420001","90222105","4500127337TVH","T436207","8.000","17.76","0","EUR","Standard Order","0","0","3917400099","GB","00000000004401762075","EAR99","Not on Control List","0","PIPE COOLANT","1.000","0.280 KG","1040000"
"2","57420","57420001","90222105","4500127819","3611274","18.000","236.52","0","EUR","Standard Order","0","0","8421230090","CZ","00000000004401762502","EAR99","Not on Control List","0","FUEL FILTER","1.000","4.122 KG","3171000"
"2","57420","57420001","90222105","4500127968TVH","0201047","5.000","35.05","0","EUR","Standard Order","0","0","7412200000","GB","00000000004401762075","0","0","0","CONNECTION","1.000","0.075 KG","1040000"
"2","57420","57420001","90222105","4500127968TVH","110706871","4.000","198.28","0","EUR","Standard Order","0","0","8409990090","JP","00000000004401762393","0","0","0","SUMP","1.000","10.520 KG","3171000"
"2","57420","57420001","90222105","4500127968TVH","111146940","1.000","15.60","0","EUR","Standard Order","0","0","8484100090","JP","00000000004401762075","EAR99","Not on Control List","0","HEAD GASKET","1.000","0.270 KG","3171000"
"2","57420","57420001","90222105","4500127968TVH","111147741","2.000","39.64","0","EUR","Standard Order","0","0","8484100090","DE","00000000004401762075","EAR99","Not on Control List","0","HEAD GASKET","1.000","0.300 KG","3171000"
"2","57420","57420001","90222105","4500127968TVH","131507520","4.000","35.64","0","EUR","Standard Order","0","0","8511900090","JP","00000000004401762075","EAR99","Not on Control List","0","INJECTION PIPE","1.000","0.520 KG","3171000"
"2","57420","57420001","90222105","4500127968TVH","135996521","5.000","6.25","0","EUR","Standard Order","0","0","8484900090","JP","00000000004401762075","EAR99","Not on Control List","0","GASKET","1.000","0.090 KG","3171000"
"2","57420","57420001","90222105","4500127968TVH","198416720","1.000","3.85","0","EUR","Standard Order","0","0","8414808090","GB","00000000004401762075","EAR99","Not on Control List","0","DIPSTICK","1.000","0.030 KG","3171000"
"2","57420","57420001","90222105","4500127968TVH","2114A046","1.000","3.80","0","EUR","Standard Order","0","0","7318290090","GB","00000000004401762075","EAR99","Not on Control List","0","DOWEL","1.000","0.007 KG","1040000"
"2","57420","57420001","90222105","4500127968TVH","21826396","9.000","46.71","0","EUR","Standard Order","0","0","8484100090","GB","00000000004401762075","0","0","0","JOINT","1.000","0.558 KG","1040000"
"2","57420","57420001","90222105","4500127968TVH","2314H020","18.000","35.28","0","EUR","Standard Order","0","0","7318158880","IT","00000000004401762075","EAR99","Not on Control List","0","SCREW","1.000","0.810 KG","1040000"
"2","57420","57420001","90222105","4500127968TVH","2411601","15.000","224.85","0","EUR","Standard Order","0","0","7325100099","US","00000000004401762075","EAR99","Not on Control List","0","SEAL","1.000","0.165 KG","1040000"
"2","57420","57420001","90222105","4500127968TVH","2415A931","15.000","48.90","0","EUR","Standard Order","0","0","3926909790","CN","00000000004401762075","EAR99","Not on Control List","0","O RING","1.000","0.075 KG","1040000"
"2","57420","57420001","90222105","4500127968TVH","2481D559","25.000","5.25","0","EUR","Standard Order","0","0","3926909790","GB","00000000004401762075","EAR99","Not on Control List","0","CLIP","1.000","0.100 KG","1040000"
"2","57420","57420001","90222105","4500127968TVH","2486A023","2.000","391.34","0","EUR","Standard Order","0","0","8419508090","CN","00000000004401762393","EAR99","Not on Control List","0","OIL COOLER","1.000","6.728 KG","3171000"
"2","57420","57420001","90222105","4500127968TVH","2486A974","5.000","195.20","0","EUR","Standard Order","0","0","8419908590","GB","00000000004401762075","EAR99","Not on Control List","0","HOUSING","1.000","9.000 KG","1040000"
"2","57420","57420001","90222105","4500127968TVH","2644C317/22","3.000","2372.61","0","EUR","Standard Order","0","0","8413308090","GB","00000000004401762393","EAR99","Not on Control List","0","FUEL INJ. PUMP","1.000","24.510 KG","1040000"
"2","57420","57420001","90222105","4500127968TVH","26560907","30.000","97.20","0","EUR","Standard Order","0","0","8511900090","US","00000000004401762075","EAR99","Not on Control List","0","PLUG","1.000","0.360 KG","3171000"
"2","57420","57420001","90222105","4500127968TVH","2871A161","14.000","1538.18","0","EUR","Standard Order","0","0","8511500090","IN","00000000004401761515/00000000004401762502","EAR99","Not on Control List","0","ALTERNATOR","1.000","65.996 KG","1040000"
"2","57420","57420001","90222105","4500127968TVH","3115K051","1.000","78.35","0","EUR","Standard Order","0","0","8483508090","GB","00000000004401762502","0","0","0","PULLEY","1.000","5.615 KG","3171000"
"2","57420","57420001","90222105","4500127968TVH","3141F012","6.000","823.14","0","EUR","Standard Order","0","0","8483105090","IN","00000000004401762393","0","0","0","CAMSHAFT","1.000","36.036 KG","3171000"
"2","57420","57420001","90222105","4500127968TVH","3271H005","7.000","54.95","0","EUR","Standard Order","0","0","8483109590","GB","00000000004401762075","0","0","0","SHAFT","1.000","1.036 KG","3171000"
"2","57420","57420001","90222105","4500127968TVH","33157143","5.000","15.50","0","EUR","Standard Order","0","0","8511900090","GB","00000000004401762075","0","0","0","PLUG","1.000","0.040 KG","3171000"
"2","57420","57420001","90222105","4500127968TVH","33554128","4.000","31.64","0","EUR","Standard Order","0","0","7307991090","GB","00000000004401762075","EAR99","Not on Control List","0","CONNECTION","1.000","0.120 KG","1040000"
"2","57420","57420001","90222105","4500127968TVH","3525A203","5.000","119.90","0","EUR","Standard Order","0","0","8409990090","SE","00000000004401762075","EAR99","Not on Control List","0","INJECTION PIPE","1.000","0.770 KG","3171000"
"2","57420","57420001","90222105","4500127968TVH","3611274","486.000","6386.04","0","EUR","Standard Order","0","0","8421230090","CZ","00000000004401762497/00000000004401762502","EAR99","Not on Control List","0","FUEL FILTER","1.000","111.294 KG","3171000"
"2","57420","57420001","90222105","4500127968TVH","36835443","30.000","38.10","0","EUR","Standard Order","0","0","8484100090","GB","00000000004401762075","EAR99","Not on Control List","0","JOINT","1.000","0.150 KG","1040000"
"2","57420","57420001","90222105","4500127968TVH","3788A003","17.000","53.38","0","EUR","Standard Order","0","0","8481900090","GB","00000000004401762075","EAR99","Not on Control List","0","CAP","1.000","0.442 KG","1040000"
"2","57420","57420001","90222105","4500127968TVH","385720500","25.000","480.75","0","EUR","Standard Order","0","0","9025190090","PL","00000000004401762075","EAR99","Not on Control List","0","TEMP SENSOR","1.000","1.500 KG","3171000"
"2","57420","57420001","90222105","4500127968TVH","4125T016","6.000","147.06","0","EUR","Standard Order","0","0","8487909090","GB","00000000004401762075","0","0","0","PIPE,FUEL","1.000","0.990 KG","1040000"
"2","57420","57420001","90222105","4500127968TVH","4126X127","20.000","227.60","0","EUR","Standard Order","0","0","8409990090","GB","00000000004401762075","EAR99","Not on Control List","0","TUBE","1.000","2.600 KG","1040000"
"2","57420","57420001","90222105","4500127968TVH","4133L038","7.000","580.58","0","EUR","Standard Order","0","0","8481805100","GB","00000000004401762393","EAR99","Not on Control List","0","CONNECTION","1.000","3.542 KG","1040000"
"2","57420","57420001","90222105","4500127968TVH","4148K007","3.000","29.46","0","EUR","Standard Order","0","0","8409990090","GB","00000000004401762075","EAR99","Not on Control List","0","CONNECTION","1.000","0.330 KG","1040000"
"2","57420","57420001","90222105","4500127968TVH","4152A001","6.000","87.00","0","EUR","Standard Order","0","0","8409990090","GB","00000000004401762075","0","0","0","INSPECTION COVER","1.000","0.624 KG","1040000"
"2","57420","57420001","90222105","4500127968TVH","4152A002","2.000","10.12","0","EUR","Standard Order","0","0","8409990090","GB","00000000004401762075","0","0","0","INSPECTION COVER","1.000","0.110 KG","3171000"
"2","57420","57420001","90222105","4500127968TVH","5181459","25.000","467.25","0","EUR","Standard Order","0","0","8421230090","US","00000000004401761505/00000000004401762502","EAR99","Not on Control List","0","ELEMENT,FUEL","1.000","9.375 KG","3171000"
